session,wave,copy,target,iterations,wall_s,cpu_s,exit_code
8,2,3,toml-ops,75000,15.4,8.9,0
8,2,3,yaml-ops,75000,29.9,20,0
8,2,3,ini-ops,75000,34.5,20.7,0
8,2,3,properties-ops,75000,41.2,30.1,0
8,2,3,xml-ops,75000,7,4.9,0
8,2,3,plist-ops,75000,12.2,6.1,0
8,2,3,hcl-ops,75000,21.1,14.6,0
8,2,3,protocol-decode,800000,40.6,29,0
8,3,1,json-parse,400000,38.5,31.5,0
8,3,1,toml-parse,400000,30.1,17.1,0
8,3,1,yaml-parse,400000,46.7,39.2,0
8,3,1,ini-parse,400000,46.7,38.8,0
8,3,1,properties-parse,400000,49.7,38.7,0
8,3,1,xml-parse,400000,22.4,11.4,0
8,3,1,plist-parse,400000,29.1,17.8,0
8,3,1,hcl-parse,400000,41.1,30.3,0
8,3,1,json-ops,75000,15.6,12.9,0
8,3,1,toml-ops,75000,11.5,5.5,0
8,3,1,yaml-ops,75000,28,15.5,0
8,3,1,ini-ops,75000,26.5,16.5,0
8,3,1,properties-ops,75000,33.2,22.1,0
8,3,1,xml-ops,75000,4.9,4.2,0
8,3,1,plist-ops,75000,7.2,4.5,0
8,3,1,hcl-ops,75000,15.6,11.5,0
8,3,1,protocol-decode,800000,34.9,22,0
8,3,2,json-parse,400000,39.5,28.5,0
8,3,2,toml-parse,400000,26.4,21,0
8,3,2,yaml-parse,400000,47.6,35.9,0
8,3,2,ini-parse,400000,47.6,36.8,0
8,3,2,properties-parse,400000,47.1,43.9,0
8,3,2,xml-parse,400000,23.8,10.5,0
8,3,2,plist-parse,400000,28,16.9,0
8,3,2,hcl-parse,400000,39.5,30.7,0
8,3,2,json-ops,75000,22.3,11.3,0
8,3,2,toml-ops,75000,11.4,5.3,0
8,3,2,yaml-ops,75000,28.5,15.2,0
8,3,2,ini-ops,75000,25.9,17.5,0
8,3,2,properties-ops,75000,31,24.2,0
8,3,2,xml-ops,75000,8.7,4.4,0
8,3,2,plist-ops,75000,7.6,4.8,0
8,3,2,hcl-ops,75000,18.1,9.8,0
8,3,2,protocol-decode,800000,26.9,24.2,0
8,3,3,json-parse,400000,38.4,28.9,0
8,3,3,toml-parse,400000,27.9,22.9,0
8,3,3,yaml-parse,400000,45,38.6,0
8,3,3,ini-parse,400000,47,37.5,0
8,3,3,properties-parse,400000,48.6,40.3,0
8,3,3,xml-parse,400000,17,13.6,0
8,3,3,plist-parse,400000,26.3,18.1,0
8,3,3,hcl-parse,400000,38.3,33,0
8,3,3,json-ops,75000,19.1,11.3,0
8,3,3,toml-ops,75000,9.7,7,0
8,3,3,yaml-ops,75000,24.8,16.2,0
8,3,3,ini-ops,75000,22.2,17.3,0
8,3,3,properties-ops,75000,31.9,23.6,0
8,3,3,xml-ops,75000,10.2,3.5,0
8,3,3,plist-ops,75000,11.8,4.5,0
8,3,3,hcl-ops,75000,16,10.5,0
8,3,3,protocol-decode,800000,31.4,23.8,0
8,4,1,json-parse,400000,42.8,28.8,0
8,4,1,toml-parse,400000,31.1,17.5,0
8,4,1,yaml-parse,400000,49.5,39,0
8,4,1,ini-parse,400000,50.1,36.8,0
8,4,1,properties-parse,400000,50.1,41,0
8,4,1,xml-parse,400000,23.4,11.8,0
8,4,1,plist-parse,400000,30.1,16.3,0
8,4,1,hcl-parse,400000,43.9,30.2,0
8,4,1,json-ops,75000,23.9,10.9,0
8,4,1,toml-ops,75000,15.1,5.4,0
8,4,1,yaml-ops,75000,29.1,15.5,0
8,4,1,ini-ops,75000,28,16.7,0
8,4,1,properties-ops,75000,33.1,23.1,0
8,4,1,xml-ops,75000,9.3,3.7,0
8,4,1,plist-ops,75000,6.2,5.2,0
8,4,1,hcl-ops,75000,19.7,10.4,0
8,4,1,protocol-decode,800000,36.2,22.3,0
8,4,2,json-parse,400000,38.2,30.5,0
